timestamp,agent.name,rule.description,rule.level,rule.id
"Sep 14, 2026 @ 16:21:59.826","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:21:59.826","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:21:05.958","Cyber-DC","Software protection service scheduled successfully.","3","60642"
"Sep 14, 2026 @ 16:20:59.813","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:20:59.812","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:19:59.805","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:19:59.803","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:18:59.790","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:18:59.789","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:18:29.850","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 16:18:11.806","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:18:01.077","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:18:01.073","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:18:01.072","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:18:01.063","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:18:01.063","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:18:01.056","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:18:01.052","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:18:01.049","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:17:59.870","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:17:59.856","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:17:59.821","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:17:59.806","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:17:59.782","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:17:59.781","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:17:06.775","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:16:59.944","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:16:59.944","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:16:55.961","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:15:59.758","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:15:59.757","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:14:59.758","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:14:59.755","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:13:59.761","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:13:59.760","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:13:47.792","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 16:13:15.906","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:13:01.074","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:13:01.072","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:13:01.056","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:13:01.026","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:13:01.010","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:13:00.994","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:13:00.991","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:13:00.988","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:12:59.801","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:12:59.788","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:12:59.767","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:12:59.752","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:12:59.742","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:12:59.740","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:12:34.453","Cyber-DC","Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 16:12:34.410","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 16:11:59.736","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:11:59.735","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:10:59.729","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:10:59.728","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:10:03.971","Cyber-DC","Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 16:10:03.968","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 16:09:59.748","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:09:59.747","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:08:11.609","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:08:05.147","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 16:08:03.514","Cyber-DC","Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 16:08:03.513","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 16:08:00.972","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:08:00.965","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:08:00.960","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:08:00.951","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:08:00.948","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:08:00.941","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:08:00.931","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:08:00.926","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:07:59.315","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:07:59.299","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:07:59.281","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:07:59.281","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:07:59.275","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:07:59.274","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 16:07:59.273","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:06:55.947","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:06:36.975","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:06:35.574","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:06:35.543","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:06:35.537","Cyber-DC","Windows User Logoff","3","60137"
