timestamp,agent.name,rule.mitre.id,rule.mitre.tactic,rule.description,rule.level,rule.id
"Sep 14, 2026 @ 16:35:59.927","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:34:59.917","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:34:16.058","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 16:33:59.925","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:33:01.462","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:33:01.428","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:33:01.363","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:33:01.324","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:33:01.316","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:33:01.304","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:33:01.303","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:32:59.932","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:31:59.916","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:30:59.901","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:29:59.894","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:29:11.120","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:28:59.892","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:28:15.615","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 16:28:15.614","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 16:28:15.611","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 16:28:15.605","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 16:28:15.592","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 16:28:15.585","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 16:28:14.893","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 16:28:13.931","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 16:28:13.931","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 16:28:13.890","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 16:28:09.637","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 16:28:01.259","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:28:01.244","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:28:01.228","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:28:01.207","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:28:01.200","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 16:28:01.197","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
